run_id,algorithm,depth,seed,objective_kind,p_opt,p_feas,p_opt_given_feas,P_feasible_top1,P_feasible_top3,P_feasible_top5,P_feasible_top10,P_feasible_all,Q_feasible_top1,Q_feasible_top3,Q_feasible_top5,Q_feasible_top10,energy_top1_mass,energy_top5_mass,energy_top10_mass,energy_top20_mass,energy_top50_mass,energy_top100_mass,shannon_entropy_full,shannon_entropy_feasible_conditional
cvarr-42babf9db9092f0c70d7c1249f7fedb12d5de29b8ca687d2cf783859c31d3230,penalty_x,110,8605,cvar_0.05,0.0002046618163007068,0.00936735301374828,0.02184841502186676,0.0002046618163007068,0.0017599383008696993,0.003621323438287062,0.006480753450596979,0.00936735301374828,0.02184841502186676,0.1878800017770946,0.38658983311209866,0.6918446909265941,0.0002046618163007068,0.003621323438287062,0.0063047427136165065,0.008660640920443705,0.016160934218925567,0.02169937208624156,9.263756672975173,2.6221434180732874
cvarr-4057c448f371285ff4b78f104d9c0b9809000ae8514fcdcfea8ba479aabbf514,penalty_x,110,8605,cvar_0.10,0.00010886117646279106,0.0036845037600245416,0.029545682011209554,0.00010886117646279106,0.0006314450419009029,0.0014872897559908246,0.0023797171012588016,0.0036845037600245416,0.029545682011209554,0.17137858529331423,0.40366080559541023,0.6458718069656553,0.00010886117646279106,0.0014872897559908246,0.002383566525512155,0.003625834775924747,0.009225561006611514,0.01694020578177391,9.273665545429864,2.6306164561467513
cvarr-b10058daa6c8ec246a1cac66b836013442bf671e485a6169fed2d43b876c512c,penalty_x,110,8605,cvar_0.25,7.940310691653847e-05,0.003029028341641121,0.026214052151627622,7.940310691653847e-05,0.00037528696737552827,0.0005350264720917768,0.0009532126172371371,0.003029028341641121,0.026214052151627622,0.12389681608994078,0.17663303599262484,0.31469253824171506,7.940310691653847e-05,0.0005350264720917768,0.001094124139667604,0.0031900907180346587,0.00740271605539462,0.012854959769396032,9.269836925504151,2.2300217751260956
cvarr-758f02560b224a91735e0901588d274227d0b9dc15699346f2420556e865945e,penalty_x,110,8605,cvar_0.50,4.4945813005557e-05,0.0020899535648352683,0.021505651494749676,4.4945813005557e-05,0.00011226470400512153,0.00028278741446256307,0.0008430386674243075,0.0020899535648352683,0.021505651494749676,0.05371636283888935,0.13530798923987222,0.4033767455932718,4.4945813005557e-05,0.00028278741446256307,0.0008611308633378174,0.0017310066812501997,0.004750843158319246,0.009160282937083078,9.278102688452163,2.600768289658781
cvarr-6671718be2b3c37262fa9170f769540d30d657109d13c46e7b9cf04837020507,penalty_x,110,8605,expectation,0.00017765024868987315,0.0018427144526341316,0.09640682441922832,0.00017765024868987315,0.00022154655149937238,0.00029561657654854514,0.0010160794708275146,0.0018427144526341316,0.09640682441922832,0.12022836809179796,0.16042451727991053,0.5514036476867291,0.00017765024868987315,0.00029561657654854514,0.0008303489029799497,0.0016948506114626259,0.004224309829390879,0.008301848834943998,9.26784356700146,2.4244809786301422
cvarr-35235eecaa2383274e673a67ac62baa11789279a6956e0126e46beefe5b05a97,penalty_x,110,8606,cvar_0.05,0.0007292511080287073,0.010563762320698177,0.06903327487781927,0.0007292511080287073,0.0008742574450314513,0.0030276539353227255,0.00557769591378468,0.010563762320698177,0.06903327487781927,0.08276004500011035,0.28660754032589997,0.5280027838998218,0.0007292511080287073,0.0030276539353227255,0.00564323019687932,0.01039219062676458,0.01507105575237428,0.02148816204608973,9.267574067902071,2.6243833949584663
cvarr-529de052dba7e9e20a131e87f8643f0387b55a2c2ddc728110fc55c3ef1c423c,penalty_x,110,8606,cvar_0.10,0.00040285948954642774,0.004989768980860552,0.08073710247742757,0.00040285948954642774,0.0008897820163402892,0.0011581878908381723,0.0019466417850758414,0.004989768980860552,0.08073710247742757,0.17832128496394525,0.2321125277103365,0.3901266356303568,0.00040285948954642774,0.0011581878908381723,0.0016982050140339948,0.0035601499665334655,0.008859223395202606,0.0162007673338281,9.27601755796777,2.6631429246656717
cvarr-704c3cfb38e5bc46bb7ce2dca934e0c7d4ad6969fc00011d3c1d98163f565b6a,penalty_x,110,8606,cvar_0.25,0.0004968454623314007,0.0036014818157609797,0.13795584366331698,0.0004968454623314007,0.0005907202902814812,0.001318323259228631,0.0018652248564451786,0.0036014818157609797,0.13795584366331698,0.16402145575089186,0.3660502333954098,0.5179048380259733,0.0004968454623314007,0.001318323259228631,0.0016276756495963768,0.003579326999277414,0.006515121781153838,0.011834529323159251,9.266609486994051,2.5255779440533117
cvarr-0a59baef4651847f2fdef943d956f0a1e37076c8ff07b69559814bb8380d922c,penalty_x,110,8606,cvar_0.50,6.091465445541175e-05,0.0019191718809672242,0.03174007240284908,6.091465445541175e-05,0.0001858245286199214,0.0003852074043634785,0.0011127944463644427,0.0019191718809672242,0.03174007240284908,0.09682537060008901,0.200715427410984,0.5798305286776172,6.091465445541175e-05,0.0003852074043634785,0.0014663410297786387,0.0022141446601595164,0.005405927201522504,0.009973489241269904,9.264227008705534,2.5832560394453004
cvarr-2ac6d31501763365675e447b109870e7b7f9176f9d17821ec0036618f7fc5bfe,penalty_x,110,8606,expectation,4.435980076856337e-05,0.0012018262919970372,0.03691032644563972,4.435980076856337e-05,0.00016223649749661612,0.00039503913412944716,0.000532631037454106,0.0012018262919970372,0.03691032644563972,0.134991636126576,0.3286990281041555,0.443184710636551,4.435980076856337e-05,0.00039503913412944716,0.0005024858301839897,0.001178432188075109,0.003745607076018605,0.008015036509150494,9.276712611382624,2.7236556892991506
