algorithm,depth,seed,cvar_objective,cvar_alpha,expectation_run_id,cvar_run_id,initial_parameters_hash,expectation_p_opt,cvar_p_opt,absolute_difference,ratio,expectation_p_feas,cvar_p_feas,p_feas_difference,expectation_p_opt_given_feas,cvar_p_opt_given_feas,p_opt_given_feas_difference,expectation_P_feasible_top3,cvar_P_feasible_top3,P_feasible_top3_difference,expectation_P_feasible_top5,cvar_P_feasible_top5,P_feasible_top5_difference
global_grover,110,8606,cvar_0.05,0.05,cvarr-2313ece459a8951031268cd20f25f487481bc76c13147fbfdc858043a0c39eba,cvarr-8d900b97a9492ed592e0941804bb46afa3ecde58dd4ed4b3daf737b18c227075,b1097067bb825dfc82f3bb1e24237aff71c80cd4a640e23155aafc5aa90fd7d5,0.0008478606682389471,0.0018968509012975165,0.0010489902330585695,2.2372200673459464,0.016236347341654297,0.0368043479597099,0.020568000618055606,0.05221991439316916,0.051538772086765904,-0.0006811423064032596,0.0023647597646674428,0.005687177149376402,0.003322417384708959,0.0038816588610959385,0.009477503397455287,0.005595844536359348
global_grover,110,8606,cvar_0.10,0.1,cvarr-2313ece459a8951031268cd20f25f487481bc76c13147fbfdc858043a0c39eba,cvarr-32e3915305cc0488df8b489bb3692ed5f246fd81f650a91313025185ca8c5f7a,b1097067bb825dfc82f3bb1e24237aff71c80cd4a640e23155aafc5aa90fd7d5,0.0008478606682389471,0.001747381579663853,0.0008995209114249059,2.0609301092988073,0.016236347341654297,0.03794757672834795,0.02171122938669365,0.05221991439316916,0.04604725071570928,-0.006172663677459882,0.0023647597646674428,0.005261194428311964,0.0028964346636445215,0.0038816588610959385,0.008775007276960076,0.004893348415864137
global_grover,110,8606,cvar_0.25,0.25,cvarr-2313ece459a8951031268cd20f25f487481bc76c13147fbfdc858043a0c39eba,cvarr-4bccde50aac1285640fd49887951c272939c7bf106f15bb3f7a69d1de765f55b,b1097067bb825dfc82f3bb1e24237aff71c80cd4a640e23155aafc5aa90fd7d5,0.0008478606682389471,0.0008838242466654274,3.596357842648029e-05,1.0424168495764505,0.016236347341654297,0.01589169216046488,-0.0003446551811894169,0.05221991439316916,0.055615490014599735,0.0033955756214305716,0.0023647597646674428,0.002614712590306631,0.00024995282563918843,0.0038816588610959385,0.004345600933947835,0.00046394207285189613
global_grover,110,8606,cvar_0.50,0.5,cvarr-2313ece459a8951031268cd20f25f487481bc76c13147fbfdc858043a0c39eba,cvarr-da92fe5df72a3adc0be6506599b8046ecab281d3a7919c1009b72f43d3f9be86,b1097067bb825dfc82f3bb1e24237aff71c80cd4a640e23155aafc5aa90fd7d5,0.0008478606682389471,0.0013430199632105818,0.0004951592949716347,1.5840102195094243,0.016236347341654297,0.025864864139171644,0.009628516797517347,0.05221991439316916,0.05192449324242202,-0.00029542115074714104,0.0023647597646674428,0.0041036512008839135,0.0017388914362164707,0.0038816588610959385,0.006864282438557245,0.002982623577461307
global_grover,110,8607,cvar_0.05,0.05,cvarr-817dd3d914c70329e926632cce747e40dd69ef557210972303cf38430fd2f77b,cvarr-8baff7b148efbcfbd361df50904543c80ac50438d271edda703f069acfe131cd,f078421b05073a8253d4cd5626379ba87884c5d41d9750da8c77ccb16b6aebbe,0.000797782616951373,0.0013249466496499602,0.0005271640326985871,1.6607865620249773,0.014206017432129146,0.031050210825590435,0.016844193393461288,0.056158076727898555,0.042671099951372575,-0.01348697677652598,0.0023336927019256617,0.004552768051647842,0.00221907534972218,0.003869602786899951,0.0077805894536457235,0.003910986666745772
global_grover,110,8607,cvar_0.10,0.1,cvarr-817dd3d914c70329e926632cce747e40dd69ef557210972303cf38430fd2f77b,cvarr-444d8fb700056457f37be1dec933fd913ed3678af674e2bc259c4c2c86504f4c,f078421b05073a8253d4cd5626379ba87884c5d41d9750da8c77ccb16b6aebbe,0.000797782616951373,0.0021527119482018103,0.0013549293312504372,2.6983690825805793,0.014206017432129146,0.04063620428388663,0.026430186851757485,0.056158076727898555,0.05297522212367211,-0.0031828546042264455,0.0023336927019256617,0.006177985823010913,0.0038442931210852516,0.003869602786899951,0.010203259697820016,0.006333656910920065
global_grover,110,8607,cvar_0.25,0.25,cvarr-817dd3d914c70329e926632cce747e40dd69ef557210972303cf38430fd2f77b,cvarr-43a1686d5ce546e76539e9f3c228fc4bc4ba4aec84e9b41929e8b926b5f2f9a3,f078421b05073a8253d4cd5626379ba87884c5d41d9750da8c77ccb16b6aebbe,0.000797782616951373,0.002997370285214004,0.002199587668262631,3.757126592539809,0.014206017432129146,0.05750132538214624,0.04329530795001709,0.056158076727898555,0.052126977339980875,-0.00403109938791768,0.0023336927019256617,0.009179919153033657,0.006846226451107995,0.003869602786899951,0.01536246802085331,0.011492865233953358
global_grover,110,8607,cvar_0.50,0.5,cvarr-817dd3d914c70329e926632cce747e40dd69ef557210972303cf38430fd2f77b,cvarr-cf0d11fc8864508dcc8f0c239a53bbab6c95afbee5bdc7f1313e3e3c67a8c632,f078421b05073a8253d4cd5626379ba87884c5d41d9750da8c77ccb16b6aebbe,0.000797782616951373,0.0011191027619879468,0.00032132014503657373,1.4027665409212082,0.014206017432129146,0.02283278884259105,0.008626771410461902,0.056158076727898555,0.04901296857352935,-0.007145108154369202,0.0023336927019256617,0.0035387594486236823,0.0012050667466980206,0.003869602786899951,0.005958416135259418,0.0020888133483594664
global_grover,110,8608,cvar_0.05,0.05,cvarr-5d9a10af610609662741ef7ad12f94f94d3efdab846d669ca0a270fe8a0e2b0f,cvarr-00a374cc315839349966f8137a36ee523fbd2678da13e002dfd2cf90a77829e8,5a948b0059e6cad1eafa1624a933c42e29e4d1718ac6dce50d36c055f84e6118,0.00034361699760389444,0.0014866078853007392,0.0011429908876968448,4.326351419362645,0.006297215686844716,0.029415294708861853,0.023118079022017138,0.05456649647902838,0.05053860245203913,-0.004027894026989248,0.0009911101978677813,0.004295365239202046,0.003304255041334265,0.0016386033981316682,0.007104122593103352,0.005465519194971684
global_grover,110,8608,cvar_0.10,0.1,cvarr-5d9a10af610609662741ef7ad12f94f94d3efdab846d669ca0a270fe8a0e2b0f,cvarr-87a852432974081d77b95275866db2192be72e28f4a20d16799cbd8f0dbe628c,5a948b0059e6cad1eafa1624a933c42e29e4d1718ac6dce50d36c055f84e6118,0.00034361699760389444,0.0011053380556113623,0.0007617210580074679,3.2167735103882844,0.006297215686844716,0.024217393166215562,0.017920177479370848,0.05456649647902838,0.04564232194707738,-0.008924174531950997,0.0009911101978677813,0.0035109265406229923,0.0025198163427552107,0.0016386033981316682,0.005916515025634623,0.004277911627502955
