algorithm,depth,n_parameters,evaluation_budget,nfev,optimizer_wall_time_s,wall_time_s,status
penalty_x,70,140,344,344,25.549056462943554,25.699366284068674,BUDGET_LIMITED
penalty_x,71,142,348,348,29.626738269114867,29.779721453087404,BUDGET_LIMITED
penalty_x,72,144,352,352,24.75007902411744,24.909514317987487,BUDGET_LIMITED
penalty_x,73,146,356,356,25.78925914200954,25.948315628105775,BUDGET_LIMITED
penalty_x,74,148,360,360,28.09018553001806,28.250322745880112,BUDGET_LIMITED
penalty_x,75,150,364,364,28.181847809115425,28.343341476051137,BUDGET_LIMITED
penalty_x,76,152,368,368,28.427920914022252,28.593495317036286,BUDGET_LIMITED
penalty_x,77,154,372,372,30.462422171141952,30.62962633697316,BUDGET_LIMITED
penalty_x,78,156,376,376,33.37132934201509,33.550582552095875,BUDGET_LIMITED
penalty_x,79,158,380,380,32.39441020810045,32.57600902719423,BUDGET_LIMITED
penalty_x,80,160,384,384,33.299293684074655,33.49933507293463,BUDGET_LIMITED
penalty_x,81,162,388,388,25.255252172937617,25.46165889292024,BUDGET_LIMITED
penalty_x,82,164,392,392,30.193452487001196,30.394786975113675,BUDGET_LIMITED
penalty_x,83,166,396,396,24.005122886039317,24.218240411952138,BUDGET_LIMITED
penalty_x,84,168,400,400,26.09510984714143,26.30534106004052,BUDGET_LIMITED
penalty_x,85,170,404,404,32.4158215560019,32.62204546504654,BUDGET_LIMITED
penalty_x,86,172,408,408,31.688101073959842,31.901823699008673,BUDGET_LIMITED
penalty_x,87,174,412,412,26.418621892109513,26.636567733017728,BUDGET_LIMITED
penalty_x,88,176,416,416,39.60910841100849,39.82452098396607,BUDGET_LIMITED
penalty_x,89,178,420,420,40.26268920209259,40.47847508103587,BUDGET_LIMITED
penalty_x,90,180,424,424,37.877915764926,38.09637675690465,BUDGET_LIMITED
penalty_x,91,182,428,428,42.80216378904879,43.031578812981024,BUDGET_LIMITED
penalty_x,92,184,432,432,37.43135003792122,37.66742122801952,BUDGET_LIMITED
penalty_x,93,186,436,436,42.65116681996733,42.883960337145254,BUDGET_LIMITED
penalty_x,94,188,440,440,44.2476136169862,44.49934197892435,BUDGET_LIMITED
penalty_x,95,190,444,444,46.32722860900685,46.58358244597912,BUDGET_LIMITED
penalty_x,96,192,448,448,42.20610338705592,42.45114570809528,BUDGET_LIMITED
penalty_x,97,194,452,452,44.11181878694333,44.36285966797732,BUDGET_LIMITED
penalty_x,98,196,456,456,43.58702449710108,43.8341446518898,BUDGET_LIMITED
penalty_x,99,198,460,460,46.04364428692497,46.289973297854885,BUDGET_LIMITED
penalty_x,100,200,464,464,50.02598771103658,50.272004605969414,BUDGET_LIMITED
penalty_x,101,202,468,468,48.89225911605172,49.14568982110359,BUDGET_LIMITED
penalty_x,102,204,472,472,49.603103153873235,49.85122241801582,BUDGET_LIMITED
penalty_x,103,206,476,476,53.55124894413166,53.81871896609664,BUDGET_LIMITED
penalty_x,104,208,480,480,49.60386980487965,49.86531038302928,BUDGET_LIMITED
penalty_x,105,210,484,484,59.031448276015,59.279970064992085,BUDGET_LIMITED
penalty_x,106,212,488,488,61.273459217045456,61.542268263874575,BUDGET_LIMITED
penalty_x,107,214,492,492,51.68738748389296,51.93818007595837,BUDGET_LIMITED
penalty_x,108,216,496,496,55.10572671005502,55.370010268874466,BUDGET_LIMITED
penalty_x,109,218,500,500,59.17672730702907,59.41249213903211,BUDGET_LIMITED
penalty_x,110,220,504,504,63.541318220086396,63.798645481001586,BUDGET_LIMITED
