p,penalty_x_p_opt,penalty_x_p_feas,penalty_x_p_opt_given_feasible,penalty_x_expected_penalized_cost,penalty_x_nfev,penalty_x_status,global_grover_p_opt,global_grover_p_feas,global_grover_p_opt_given_feasible,global_grover_expected_penalized_cost,global_grover_nfev,global_grover_status
67,3.80364701755937e-05,0.13066804235974014,0.00029109237032017433,20.863544210743747,332,BUDGET_LIMITED,0.0006302791384778999,0.013077727673506012,0.04819485114029203,38.878244336157934,332,BUDGET_LIMITED
68,3.53270185957417e-05,0.1309345616820506,0.00026980667397448943,20.679592462736757,336,BUDGET_LIMITED,0.0006381420465970633,0.01323871682677275,0.04820271140678409,38.80252250504957,336,BUDGET_LIMITED
69,3.1683931726263506e-05,0.12152419842114698,0.0002607211743661256,20.670480384746796,340,BUDGET_LIMITED,0.000693199959852768,0.014214953897628241,0.048765544007035304,38.399654827649606,340,BUDGET_LIMITED
70,2.8118131441232675e-05,0.11708823705011197,0.0002401448014730852,20.746969460466087,344,BUDGET_LIMITED,0.0007050943453638413,0.014426194096803763,0.04887597800448703,38.17219527992645,344,BUDGET_LIMITED
71,3.127524167917396e-06,0.12556531972087062,2.4907547520842735e-05,20.84454291973089,348,BUDGET_LIMITED,0.0007007024073032352,0.01434607501644578,0.04884279543359262,38.166910963034276,348,BUDGET_LIMITED
72,1.828468397122348e-05,0.13235342090206434,0.00013815044482116812,20.4819105831831,352,BUDGET_LIMITED,0.0007052950805082115,0.014428662146249294,0.04888152992698299,38.13026249580098,352,BUDGET_LIMITED
73,3.2336339762840004e-05,0.1468804946165787,0.00022015407728066117,20.432206880650316,356,BUDGET_LIMITED,0.0007067499332716321,0.014427280030132682,0.048987053124048385,38.08470231669529,356,BUDGET_LIMITED
74,4.6343030489494366e-05,0.14275945808409107,0.00032462318862401713,20.28486996551226,360,BUDGET_LIMITED,0.0007160036459433841,0.014620154123407846,0.048973741309403455,38.03064631727079,360,BUDGET_LIMITED
75,5.8282456344821674e-05,0.1403499722822042,0.00041526517887464985,20.271753546036074,364,BUDGET_LIMITED,0.0007111719752484299,0.01477547127190144,0.048131931778099546,37.963144768351114,364,BUDGET_LIMITED
76,3.986045472610445e-05,0.14775751835762388,0.00026976938411775757,20.112891162316295,368,BUDGET_LIMITED,0.0007149378518931348,0.014879080093142222,0.04804986917320582,37.936526269018465,368,BUDGET_LIMITED
77,3.8312834162051975e-05,0.14128226438978359,0.00027117936088814876,20.117692557140245,372,BUDGET_LIMITED,0.0007263560701771177,0.015113407965181406,0.04806037604824223,37.92605137229442,372,BUDGET_LIMITED
78,0.00016162186429305908,0.13963572055536808,0.0011574535774245037,19.88453357341206,376,BUDGET_LIMITED,0.0007249366136919576,0.015000222271326458,0.0483283914450857,37.898078388847665,376,BUDGET_LIMITED
79,0.0002039167139864957,0.14400916784654058,0.0014159981412002458,20.07314264841702,380,BUDGET_LIMITED,0.0007228654875907802,0.01500175304885413,0.04818540108190852,37.89617617910939,380,BUDGET_LIMITED
80,0.00039901516480528136,0.16418839817804898,0.0024302275266281717,20.16649944279155,384,BUDGET_LIMITED,0.0007188664208228143,0.014965892005857857,0.04803365015205509,37.861666812992866,384,BUDGET_LIMITED
81,0.0003083624948118673,0.16358898954561324,0.00188498318663364,20.12387117239937,388,BUDGET_LIMITED,0.0007214384069936624,0.015008864799194966,0.048067486558500974,37.83972479769453,388,BUDGET_LIMITED
82,0.0002743917544421108,0.15642707903479777,0.0017541192748416108,20.571794707297286,392,BUDGET_LIMITED,0.0007217316925761164,0.015003404772332356,0.04810452717419551,37.798422021920096,392,BUDGET_LIMITED
83,0.00027661353125167063,0.15346772232602024,0.0018024215584827976,20.71227712854604,396,BUDGET_LIMITED,0.0007175027547848661,0.014954752802147838,0.04797824238738447,37.79748343805374,396,BUDGET_LIMITED
84,0.00018840707816675776,0.1319768504648941,0.001427576711393595,20.34788520564399,400,BUDGET_LIMITED,0.0007275253124033573,0.015106835182792882,0.048158684701348264,37.78936817352978,400,BUDGET_LIMITED
85,0.0001414201974657885,0.13491838805968479,0.0010481906840098584,20.23760851290313,404,BUDGET_LIMITED,0.0007348327295630343,0.015192792109906266,0.04836719440687245,37.77900307411304,404,BUDGET_LIMITED
86,0.00017943886601163605,0.14855812251865627,0.0012078697749367537,20.023698318092627,408,BUDGET_LIMITED,0.0007348533229460017,0.015189624287130889,0.04837863722334408,37.77857699368746,408,BUDGET_LIMITED
87,0.0001771670505118435,0.13050019701281618,0.001357599870094022,20.366562754614602,412,BUDGET_LIMITED,0.0007352882664993916,0.015174959775554853,0.04845405044722807,37.772475719234976,412,BUDGET_LIMITED
88,6.875120151520123e-05,0.14787996371399892,0.00046491221520832013,19.720933822283058,416,BUDGET_LIMITED,0.000735258908763125,0.015170747883917996,0.048465567708929395,37.77217987136287,416,BUDGET_LIMITED
