group,stage,description,repeat_id,duration_ns,duration_ms
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,24,1298271,1.298271
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,25,1291257,1.291257
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,26,1284585,1.284585
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,27,1277912,1.277912
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,28,1283503,1.283503
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,29,1283313,1.283313
Circuit,qiskit_circuit_build_p2,Build explicit parameterized p=2 Qiskit circuit,30,1422922,1.422922
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,0,4662517,4.662517
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,1,4483775,4.483775
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,2,4411691,4.411691
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,3,4669661,4.669661
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,4,4304572,4.304572
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,5,4392325,4.392325
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,6,4645425,4.645425
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,7,4314210,4.31421
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,8,4391564,4.391564
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,9,4645515,4.645515
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,10,4332995,4.332995
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,11,4397534,4.397534
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,12,4629786,4.629786
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,13,4318037,4.318037
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,14,4372929,4.372929
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,15,4638282,4.638282
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,16,4323748,4.323748
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,17,4405420,4.40542
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,18,4652108,4.652108
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,19,4333215,4.333215
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,20,4382507,4.382507
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,21,4645405,4.645405
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,22,4303249,4.303249
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,23,4390021,4.390021
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,24,4624626,4.624626
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,25,4374011,4.374011
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,26,4384461,4.384461
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,27,4659611,4.659611
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,28,4335640,4.33564
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,29,4394379,4.394379
Simulation,numpy_statevector_p1,Independent NumPy p=1 state evolution,30,4638051,4.638051
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,0,8960838,8.960838
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,1,8434179,8.434179
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,2,8565242,8.565242
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,3,8873586,8.873586
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,4,8297095,8.297095
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,5,8477360,8.47736
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,6,8857656,8.857656
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,7,8408541,8.408541
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,8,8585130,8.58513
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,9,8983910,8.98391
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,10,8398704,8.398704
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,11,8560174,8.560174
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,12,8945929,8.945929
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,13,8361655,8.361655
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,14,8401679,8.401679
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,15,8609475,8.609475
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,16,8161253,8.161253
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,17,8239839,8.239839
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,18,8426856,8.426856
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,19,7987450,7.98745
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,20,8082747,8.082747
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,21,8298789,8.298789
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,22,7805222,7.805222
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,23,7925756,7.925756
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,24,8107603,8.107603
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,25,7692693,7.692693
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,26,7730283,7.730283
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,27,8104958,8.104958
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,28,7520262,7.520262
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,29,7587307,7.587307
Simulation,numpy_statevector_p2,Independent NumPy p=2 state evolution,30,7914805,7.914805
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,0,10431959,10.431959
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,1,10289975,10.289975
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,2,10145126,10.145126
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,3,11398684,11.398684
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,4,9990900,9.9909
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,5,9879974,9.879974
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,6,11071997,11.071997
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,7,9708585,9.708585
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,8,9712112,9.712112
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,9,10853772,10.853772
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,10,9470574,9.470574
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,11,9414130,9.41413
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,12,10556130,10.55613
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,13,9277515,9.277515
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,14,9208597,9.208597
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,15,10332414,10.332414
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,16,9025808,9.025808
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,17,8939588,8.939588
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,18,10008843,10.008843
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,19,8824374,8.824374
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,20,8760695,8.760695
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,21,9778716,9.778716
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,22,8607481,8.607481
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,23,8504330,8.50433
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,24,9581420,9.58142
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,25,8447294,8.447294
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,26,8299870,8.29987
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,27,9419759,9.419759
Simulation,qiskit_statevector_p1,Qiskit Statevector execution of bound p=1 circuit,28,8524417,8.524417
