A,p,selected_start_id,shots,replicate_id,p_feas_hat,p_opt_hat,invalid_mass_hat,feasible_observation_count,exact_optimum_observation_count,most_frequent_state_index,most_frequent_canonical_bitstring,most_frequent_qiskit_display_bitstring,most_frequent_observation_count
2,2,2,256,84,0.0703125,0.00390625,0.9296875,18,1,0,00000000000000,00000000000000,3
2,2,2,256,85,0.05859375,0.0,0.94140625,15,0,8192,00000000000001,10000000000000,4
2,2,2,256,86,0.0546875,0.01171875,0.9453125,14,3,512,00000000010000,00001000000000,4
2,2,2,256,87,0.03125,0.00390625,0.96875,8,1,9217,10000000001001,10010000000001,5
2,2,2,256,88,0.0546875,0.00390625,0.9453125,14,1,0,00000000000000,00000000000000,5
2,2,2,256,89,0.06640625,0.00390625,0.93359375,17,1,1,10000000000000,00000000000001,3
2,2,2,256,90,0.0234375,0.00390625,0.9765625,6,1,8193,10000000000001,10000000000001,4
2,2,2,256,91,0.03125,0.00390625,0.96875,8,1,4609,10000000010010,01001000000001,5
2,2,2,256,92,0.06640625,0.0,0.93359375,17,0,4608,00000000010010,01001000000000,4
2,2,2,256,93,0.03125,0.0,0.96875,8,0,9216,00000000001001,10010000000000,4
2,2,2,256,94,0.04296875,0.0,0.95703125,11,0,1,10000000000000,00000000000001,3
2,2,2,256,95,0.05078125,0.0,0.94921875,13,0,8192,00000000000001,10000000000000,4
2,2,2,256,96,0.0546875,0.00390625,0.9453125,14,1,0,00000000000000,00000000000000,8
2,2,2,256,97,0.0546875,0.00390625,0.9453125,14,1,8196,00100000000001,10000000000100,3
2,2,2,256,98,0.05078125,0.0,0.94921875,13,0,4096,00000000000010,01000000000000,6
2,2,2,256,99,0.07421875,0.00390625,0.92578125,19,1,8193,10000000000001,10000000000001,5
2,2,2,256,100,0.046875,0.00390625,0.953125,12,1,9,10010000000000,00000000001001,4
2,2,2,256,101,0.046875,0.0,0.953125,12,0,8193,10000000000001,10000000000001,4
2,2,2,256,102,0.04296875,0.0,0.95703125,11,0,0,00000000000000,00000000000000,4
2,2,2,256,103,0.07421875,0.00390625,0.92578125,19,1,8704,00000000010001,10001000000000,6
2,2,2,256,104,0.03125,0.0,0.96875,8,0,1025,10000000001000,00010000000001,3
2,2,2,256,105,0.06640625,0.00390625,0.93359375,17,1,8192,00000000000001,10000000000000,5
2,2,2,256,106,0.0390625,0.00390625,0.9609375,10,1,0,00000000000000,00000000000000,4
2,2,2,256,107,0.05859375,0.0078125,0.94140625,15,2,0,00000000000000,00000000000000,3
2,2,2,256,108,0.046875,0.0078125,0.953125,12,2,1,10000000000000,00000000000001,4
2,2,2,256,109,0.05859375,0.00390625,0.94140625,15,1,8193,10000000000001,10000000000001,6
2,2,2,256,110,0.03515625,0.0,0.96484375,9,0,8201,10010000000001,10000000001001,4
2,2,2,256,111,0.0390625,0.0,0.9609375,10,0,1,10000000000000,00000000000001,4
2,2,2,256,112,0.02734375,0.0,0.97265625,7,0,10241,10000000000101,10100000000001,5
2,2,2,256,113,0.0546875,0.00390625,0.9453125,14,1,1,10000000000000,00000000000001,5
2,2,2,256,114,0.0546875,0.00390625,0.9453125,14,1,8193,10000000000001,10000000000001,4
2,2,2,256,115,0.0703125,0.0,0.9296875,18,0,8225,10000100000001,10000000100001,4
2,2,2,256,116,0.0546875,0.0,0.9453125,14,0,9,10010000000000,00000000001001,4
2,2,2,256,117,0.0390625,0.0,0.9609375,10,0,8201,10010000000001,10000000001001,4
2,2,2,256,118,0.0703125,0.0078125,0.9296875,18,2,10752,00000000010101,10101000000000,4
2,2,2,256,119,0.05859375,0.0,0.94140625,15,0,8192,00000000000001,10000000000000,5
2,2,2,256,120,0.04296875,0.0,0.95703125,11,0,1,10000000000000,00000000000001,4
2,2,2,256,121,0.046875,0.00390625,0.953125,12,1,8457,10010000100001,10000100001001,3
2,2,2,256,122,0.05859375,0.00390625,0.94140625,15,1,8193,10000000000001,10000000000001,3
2,2,2,256,123,0.05078125,0.00390625,0.94921875,13,1,0,00000000000000,00000000000000,3
2,2,2,256,124,0.0546875,0.00390625,0.9453125,14,1,513,10000000010000,00001000000001,4
2,2,2,256,125,0.04296875,0.00390625,0.95703125,11,1,9225,10010000001001,10010000001001,4
2,2,2,256,126,0.04296875,0.00390625,0.95703125,11,1,8193,10000000000001,10000000000001,4
2,2,2,256,127,0.05859375,0.00390625,0.94140625,15,1,10752,00000000010101,10101000000000,5
2,2,2,256,128,0.0234375,0.0,0.9765625,6,0,10241,10000000000101,10100000000001,7
2,2,2,256,129,0.02734375,0.0,0.97265625,7,0,8192,00000000000001,10000000000000,5
2,2,2,256,130,0.05859375,0.0,0.94140625,15,0,576,00000010010000,00001001000000,4
2,2,2,256,131,0.046875,0.0,0.953125,12,0,8192,00000000000001,10000000000000,6
2,2,2,256,132,0.0546875,0.00390625,0.9453125,14,1,0,00000000000000,00000000000000,4
2,2,2,256,133,0.0625,0.0078125,0.9375,16,2,512,00000000010000,00001000000000,4
2,2,2,256,134,0.05078125,0.0,0.94921875,13,0,9,10010000000000,00000000001001,4
2,2,2,256,135,0.04296875,0.0,0.95703125,11,0,8201,10010000000001,10000000001001,5
2,2,2,256,136,0.0625,0.0,0.9375,16,0,4105,10010000000010,01000000001001,3
2,2,2,256,137,0.0390625,0.0,0.9609375,10,0,8192,00000000000001,10000000000000,4
2,2,2,256,138,0.05078125,0.00390625,0.94921875,13,1,8201,10010000000001,10000000001001,4
2,2,2,256,139,0.0546875,0.0078125,0.9453125,14,2,8194,01000000000001,10000000000010,4
2,2,2,256,140,0.046875,0.0078125,0.953125,12,2,4617,10010000010010,01001000001001,4
2,2,2,256,141,0.02734375,0.00390625,0.97265625,7,1,8194,01000000000001,10000000000010,3
2,2,2,256,142,0.0625,0.00390625,0.9375,16,1,1,10000000000000,00000000000001,5
2,2,2,256,143,0.03125,0.00390625,0.96875,8,1,8193,10000000000001,10000000000001,4
2,2,2,256,144,0.03125,0.00390625,0.96875,8,1,8192,00000000000001,10000000000000,7
2,2,2,256,145,0.06640625,0.015625,0.93359375,17,4,4097,10000000000010,01000000000001,4
2,2,2,256,146,0.04296875,0.0,0.95703125,11,0,10241,10000000000101,10100000000001,6
2,2,2,256,147,0.03125,0.00390625,0.96875,8,1,9216,00000000001001,10010000000000,4
2,2,2,256,148,0.046875,0.00390625,0.953125,12,1,0,00000000000000,00000000000000,5
2,2,2,256,149,0.05859375,0.0,0.94140625,15,0,10761,10010000010101,10101000001001,5
2,2,2,256,150,0.02734375,0.00390625,0.97265625,7,1,0,00000000000000,00000000000000,4
2,2,2,256,151,0.06640625,0.01171875,0.93359375,17,3,1,10000000000000,00000000000001,4
2,2,2,256,152,0.04296875,0.0,0.95703125,11,0,4097,10000000000010,01000000000001,4
2,2,2,256,153,0.04296875,0.0,0.95703125,11,0,512,00000000010000,00001000000000,3
2,2,2,256,154,0.046875,0.0,0.953125,12,0,9289,10010010001001,10010001001001,4
2,2,2,256,155,0.046875,0.0,0.953125,12,0,0,00000000000000,00000000000000,4
2,2,2,256,156,0.0625,0.00390625,0.9375,16,1,0,00000000000000,00000000000000,3
