run_id,algorithm,checkpoint_index,checkpoint,basis_index,basis_label,energy,feasible,exact_optimal,decoded_route,magnitude,probability,phase,real,imag
grover_global_p2_seed2601,grover_global,2,Mixer-1,9289,10010010001001,11.0,True,False,0->1->2->3->5->6,0.004524761870309503,2.047346998300675e-05,1.7304208120652147,-0.0007191994833281139,0.004467238754106089
grover_global_p2_seed2601,grover_global,2,Mixer-1,10370,01000001000101,11.0,True,False,0->2->4->5->6,0.004524761870309503,2.047346998300675e-05,1.7304208120652147,-0.0007191994833281139,0.004467238754106089
grover_global_p2_seed2601,grover_global,2,Mixer-1,0,00000000000000,12.0,False,False,,0.004396833942781282,1.9332148720393596e-05,1.735857205072931,-0.00072245425899906,0.004337073732835046
grover_global_p2_seed2601,grover_global,2,Mixer-1,1,10000000000000,14.0,False,False,,0.0041428030646813215,1.716281723273295e-05,1.7492716061507299,-0.0007354688415945054,0.004076996788786641
grover_global_p2_seed2601,grover_global,2,Mixer-1,8192,00000000000001,14.0,False,False,,0.0041428030646813215,1.716281723273295e-05,1.7492716061507299,-0.0007354688415945054,0.004076996788786641
grover_global_p2_seed2601,grover_global,3,Cost-2,10377,10010001000101,10.0,True,True,0->1->2->4->5->6,0.004653186261541198,2.1652142384595747e-05,1.7257430579200765,-0.0007181144576431757,0.004597439940914899
grover_global_p2_seed2601,grover_global,3,Cost-2,4233,10010001000010,11.0,True,False,0->1->2->4->6,0.004524761870309503,2.047346998300675e-05,1.7304208120652147,-0.0007191994833281139,0.004467238754106089
grover_global_p2_seed2601,grover_global,3,Cost-2,9289,10010010001001,11.0,True,False,0->1->2->3->5->6,0.004524761870309503,2.047346998300675e-05,1.7304208120652147,-0.0007191994833281139,0.004467238754106089
grover_global_p2_seed2601,grover_global,3,Cost-2,10370,01000001000101,11.0,True,False,0->2->4->5->6,0.004524761870309503,2.047346998300675e-05,1.7304208120652147,-0.0007191994833281139,0.004467238754106089
grover_global_p2_seed2601,grover_global,3,Cost-2,0,00000000000000,12.0,False,False,,0.004396833942781282,1.9332148720393596e-05,1.735857205072931,-0.00072245425899906,0.004337073732835046
grover_global_p2_seed2601,grover_global,3,Cost-2,1,10000000000000,14.0,False,False,,0.0041428030646813215,1.716281723273295e-05,1.7492716061507299,-0.0007354688415945054,0.004076996788786641
