run_id,algorithm,p,checkpoint_index,checkpoint,operation,layer,norm,probability_sum,expected_hc,expected_routing_term,expected_flow_penalty,expected_penalty_contribution,expected_total_qubo,p_feas,p_opt,invalid_mass,optimum_feasible_mass,other_feasible_mass,infeasible_mass,shannon_entropy,max_basis_probability,top_basis_index,top_basis_label,top_is_feasible,top_is_optimal,top_decoded_route,top_route_cost,top_total_energy
grover_global_p1_seed2601,grover_global,1,2,Mixer-1,mixer,1,0.9999999999999987,0.9999999999999999,85.99999999999999,25.999999999999996,9.999999999999998,59.999999999999986,85.99999999999999,0.0012207031249999996,6.103515624999997e-05,0.9987792968749998,6.103515624999997e-05,0.0011596679687499996,0.9987792968749998,9.704060527839232,6.103515624999997e-05,0,00000000000000,False,False,,0.0,12.0
grover_global_p2_seed2601,grover_global,2,0,Initial,initial,0,1.0,1.0,86.0,26.0,10.0,60.0,86.0,0.001220703125,6.103515625e-05,0.998779296875,6.103515625e-05,0.00115966796875,0.998779296875,9.704060527839234,6.103515625e-05,0,00000000000000,False,False,,0.0,12.0
grover_global_p2_seed2601,grover_global,2,1,Cost-1,cost,1,1.0,1.0,86.0,26.0,10.0,60.0,86.0,0.001220703125,6.103515625e-05,0.998779296875,6.103515625e-05,0.00115966796875,0.998779296875,9.704060527839232,6.1035156249999986e-05,0,00000000000000,False,False,,0.0,12.0
grover_global_p2_seed2601,grover_global,2,2,Mixer-1,mixer,1,1.0,1.0000000000000004,117.64275442004836,30.549698262522494,14.515509359587648,87.0930561575259,117.64275442004836,0.0003825676715307723,2.165214238459574e-05,0.9996174323284697,2.165214238459574e-05,0.0003609155291461766,0.9996174323284697,9.262894994099112,0.0002970435574642088,4092,00111111111100,False,False,,39.0,207.0
grover_global_p2_seed2601,grover_global,2,3,Cost-2,cost,2,1.0,1.0000000000000004,117.64275442004836,30.549698262522494,14.515509359587648,87.0930561575259,117.64275442004836,0.0003825676715307723,2.165214238459574e-05,0.9996174323284697,2.165214238459574e-05,0.0003609155291461766,0.9996174323284697,9.262894994099112,0.0002970435574642088,4092,00111111111100,False,False,,39.0,207.0
grover_global_p2_seed2601,grover_global,2,4,Mixer-2,mixer,2,1.0000000000000007,1.0000000000000009,61.94274208143122,21.937902068767986,6.667473335443872,40.00484001266323,61.94274208143122,0.0041737048657800695,0.000213372074573501,0.9958262951342208,0.000213372074573501,0.003960332791206569,0.9958262951342208,9.366000849855123,0.000213372074573501,10377,10010001000101,True,True,"(0, 1, 2, 4, 5, 6)",10.0,10.0
grover_feasible_p1_seed2601,grover_feasible,1,0,Initial,initial,0,0.9999999999999999,1.0,12.2,12.2,,,12.2,1.0,0.049999999999999996,0.0,0.049999999999999996,0.9500000000000001,0.0,2.995732273553991,0.049999999999999996,0,route_0:10010001000101,True,True,"(0, 1, 2, 4, 5, 6)",10.0,10.0
grover_feasible_p1_seed2601,grover_feasible,1,1,Cost-1,cost,1,0.9999999999999999,1.0,12.2,12.2,,,12.2,1.0,0.049999999999999996,0.0,0.049999999999999996,0.9500000000000001,0.0,2.995732273553991,0.049999999999999996,0,route_0:10010001000101,True,True,"(0, 1, 2, 4, 5, 6)",10.0,10.0
grover_feasible_p1_seed2601,grover_feasible,1,2,Mixer-1,mixer,1,0.9999999999999999,1.0000000000000002,12.200000000000001,12.200000000000001,,,12.200000000000001,1.0000000000000002,0.05000000000000001,0.0,0.05000000000000001,0.9500000000000003,0.0,2.9957322735539913,0.05000000000000001,0,route_0:10010001000101,True,True,"(0, 1, 2, 4, 5, 6)",10.0,10.0
grover_feasible_p2_seed2601,grover_feasible,2,0,Initial,initial,0,0.9999999999999999,1.0,12.2,12.2,,,12.2,1.0,0.049999999999999996,0.0,0.049999999999999996,0.9500000000000001,0.0,2.995732273553991,0.049999999999999996,0,route_0:10010001000101,True,True,"(0, 1, 2, 4, 5, 6)",10.0,10.0
grover_feasible_p2_seed2601,grover_feasible,2,1,Cost-1,cost,1,1.0,1.0000000000000002,12.2,12.2,,,12.2,1.0000000000000002,0.049999999999999996,0.0,0.049999999999999996,0.9500000000000002,0.0,2.9957322735539913,0.049999999999999996,0,route_0:10010001000101,True,True,"(0, 1, 2, 4, 5, 6)",10.0,10.0
grover_feasible_p2_seed2601,grover_feasible,2,2,Mixer-1,mixer,1,0.9999999999999999,0.9999999999999996,12.921670969510783,12.921670969510783,,,12.921670969510783,0.9999999999999996,0.03881023777604094,0.0,0.03881023777604094,0.9611897622239586,0.0,2.6898384815143515,0.14847103296303718,18,route_18:10000100000010,True,False,"(0, 1, 4, 6)",14.0,14.0
grover_feasible_p2_seed2601,grover_feasible,2,3,Cost-2,cost,2,0.9999999999999999,0.9999999999999996,12.921670969510783,12.921670969510783,,,12.921670969510783,0.9999999999999996,0.03881023777604094,0.0,0.03881023777604094,0.9611897622239586,0.0,2.6898384815143515,0.14847103296303718,18,route_18:10000100000010,True,False,"(0, 1, 4, 6)",14.0,14.0
grover_feasible_p2_seed2601,grover_feasible,2,4,Mixer-2,mixer,2,1.0,1.0000000000000002,11.306632348095222,11.306632348095222,,,11.306632348095222,1.0000000000000002,0.17092702470509727,0.0,0.17092702470509727,0.8290729752949029,0.0,2.5934980007185993,0.17092702470509727,0,route_0:10010001000101,True,True,"(0, 1, 2, 4, 5, 6)",10.0,10.0
