algorithm,depth,seed,representation,search_dimension,mixer_type,parameter_count,initialization_source,evaluation_budget,evaluation_budget_used,optimizer_reason,optimizer_success,optimizer_wall_time_seconds,p_feas,p_opt,invalid_mass,expected_cost_full,expected_cost_feasible,feasible_conditional_p_opt,normalized_regret,bsp
penalty_x,33,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),66,continuation_from_p32_plus_seed_small_angle,179,179,evaluation_budget_exhausted,False,11.044934800011106,0.0012072795697057896,6.034891690352202e-05,0.9987927204302942,26.019652358932685,12.2001202295642,0.04998752436291858,1.6019652358932686,nan
penalty_x,34,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),68,continuation_from_p33_plus_seed_small_angle,182,182,evaluation_budget_exhausted,False,10.168249599984847,0.0012050435545805124,6.023462297101786e-05,0.9987949564454195,26.022943140437846,12.200140393463167,0.049985432262642265,1.6022943140437846,nan
penalty_x,35,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),70,continuation_from_p34_plus_seed_small_angle,185,185,evaluation_budget_exhausted,False,10.588171300012618,0.0012045966006676502,6.0211777816885556e-05,0.9987954033993323,26.023601058219025,12.2001444258478,0.04998501389055311,1.6023601058219026,nan
penalty_x,36,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),72,continuation_from_p35_plus_seed_small_angle,188,188,evaluation_budget_exhausted,False,11.093270399956964,0.0012045444338603375,6.020911195596448e-05,0.9987954555661396,26.023677160652625,12.200144892359674,0.049984965488575325,1.6023677160652625,nan
penalty_x,37,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),74,continuation_from_p36_plus_seed_small_angle,191,191,evaluation_budget_exhausted,False,12.064518600003794,0.0012028679920711683,6.012342401389181e-05,0.9987971320079287,26.0261490071293,12.200160045102315,0.04998339336502569,1.6026149007129298,nan
penalty_x,38,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),76,continuation_from_p37_plus_seed_small_angle,194,194,evaluation_budget_exhausted,False,12.94349420000799,0.0012005401893296198,6.0004445667271455e-05,0.9987994598106704,26.02958802678887,12.200181135142731,0.049981205294574824,1.6029588026788868,nan
penalty_x,39,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),78,continuation_from_p38_plus_seed_small_angle,197,197,evaluation_budget_exhausted,False,13.041872399975546,0.0011984362605022066,5.9896913000029715e-05,0.9988015637394977,26.032702521660877,12.200200243253382,0.04997922290412827,1.6032702521660878,nan
penalty_x,40,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),80,continuation_from_p39_plus_seed_small_angle,200,200,evaluation_budget_exhausted,False,13.07825329998741,0.001195685422545078,5.9756320664212104e-05,0.998804314577455,26.036783979501042,12.200225295651968,0.04997662389913368,1.6036783979501041,nan
penalty_x,41,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),82,continuation_from_p40_plus_seed_small_angle,203,203,evaluation_budget_exhausted,False,14.22823690000223,0.0011931527687646657,5.962688340270748e-05,0.9988068472312354,26.04055134760935,12.200248432305553,0.049974223723624554,1.604055134760935,nan
penalty_x,42,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),84,continuation_from_p41_plus_seed_small_angle,206,206,evaluation_budget_exhausted,False,14.193864299973939,0.0011903252701912612,5.948238176288763e-05,0.998809674729809,26.044768423587428,12.200274344380063,0.049971535724289896,1.6044768423587428,nan
penalty_x,43,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),86,continuation_from_p42_plus_seed_small_angle,209,209,evaluation_budget_exhausted,False,15.280523299996275,0.0011871769869764863,5.93214921307438e-05,0.9988128230130235,26.04947720978141,12.200303294095841,0.049968532730595074,1.604947720978141,nan
penalty_x,44,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),88,continuation_from_p43_plus_seed_small_angle,212,212,evaluation_budget_exhausted,False,15.23655069997767,0.0011846590085770469,5.9192817842774635e-05,0.9988153409914231,26.053253653626456,12.200326524591052,0.04996612309045291,1.6053253653626456,nan
penalty_x,45,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),90,continuation_from_p44_plus_seed_small_angle,215,215,evaluation_budget_exhausted,False,16.676824299967848,0.0011820474846470405,5.905936704200901e-05,0.9988179525153529,26.057180440939135,12.200350691929323,0.04996361635983189,1.6057180440939134,nan
penalty_x,46,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),92,continuation_from_p45_plus_seed_small_angle,218,218,evaluation_budget_exhausted,False,16.820699899981264,0.0011787889914622836,5.889286216608919e-05,0.9988212110085376,26.062093340375245,12.200380944273927,0.04996047858661524,1.6062093340375245,nan
penalty_x,47,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),94,continuation_from_p46_plus_seed_small_angle,221,221,evaluation_budget_exhausted,False,21.508443300030194,0.0011756911804862119,5.873457508521438e-05,0.9988243088195137,26.066777218300082,12.200409802947902,0.04995748548604784,1.6066777218300081,nan
penalty_x,48,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),96,continuation_from_p47_plus_seed_small_angle,224,224,evaluation_budget_exhausted,False,22.52578969998285,0.0011729157685473977,5.859276614489235e-05,0.9988270842314526,26.07098608759971,12.20043575006764,0.049954794467003204,1.607098608759971,nan
penalty_x,49,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),98,continuation_from_p48_plus_seed_small_angle,227,227,evaluation_budget_exhausted,False,23.0291419000132,0.0011701083544347294,5.844932623401885e-05,0.9988298916455653,26.07525612436852,12.200462088206171,0.049952062996982266,1.6075256124368518,nan
