algorithm,depth,optimizer_wall_time_seconds,evaluation_budget_used,optimizer_reason
grover_cost_phase,61,2.0234516999917105,263,evaluation_budget_exhausted
grover_cost_phase,62,4.351081900065765,266,evaluation_budget_exhausted
grover_cost_phase,63,2.5163884999928996,269,evaluation_budget_exhausted
grover_cost_phase,64,2.37934589991346,272,evaluation_budget_exhausted
grover_cost_phase,65,2.330553299980238,275,evaluation_budget_exhausted
grover_cost_phase,66,2.803457499947399,278,evaluation_budget_exhausted
grover_cost_phase,67,2.4536186000332236,281,evaluation_budget_exhausted
grover_cost_phase,68,7.642717799986713,284,evaluation_budget_exhausted
grover_cost_phase,69,7.488379999995232,287,evaluation_budget_exhausted
grover_cost_phase,70,2.5978848999366164,290,evaluation_budget_exhausted
grover_cost_phase,71,2.4660402999725193,293,evaluation_budget_exhausted
grover_cost_phase,72,2.620865499950014,296,evaluation_budget_exhausted
grover_cost_phase,73,2.799490200006403,299,evaluation_budget_exhausted
grover_cost_phase,74,2.8376340999966487,302,evaluation_budget_exhausted
grover_cost_phase,75,2.839027200010605,305,evaluation_budget_exhausted
grover_cost_phase,76,2.8649914000416175,308,evaluation_budget_exhausted
grover_cost_phase,77,2.8043168999720365,311,evaluation_budget_exhausted
grover_cost_phase,78,3.8869383999845013,314,evaluation_budget_exhausted
grover_cost_phase,79,3.29803099995479,317,evaluation_budget_exhausted
grover_cost_phase,80,4.564264000044204,320,evaluation_budget_exhausted
grover_cost_phase,81,3.8480454001110047,323,evaluation_budget_exhausted
grover_cost_phase,82,3.5965500000165775,326,evaluation_budget_exhausted
grover_cost_phase,83,3.781172399991192,329,evaluation_budget_exhausted
grover_cost_phase,84,7.657565900008194,332,evaluation_budget_exhausted
grover_cost_phase,85,3.726022900082171,335,evaluation_budget_exhausted
grover_cost_phase,86,4.4067087000003085,338,evaluation_budget_exhausted
grover_cost_phase,87,3.079337199917063,341,evaluation_budget_exhausted
grover_cost_phase,88,3.756887700059451,344,evaluation_budget_exhausted
grover_cost_phase,89,3.975262299994938,347,evaluation_budget_exhausted
grover_cost_phase,90,4.647855899995193,350,evaluation_budget_exhausted
grover_cost_phase,91,4.190798799972981,353,evaluation_budget_exhausted
grover_cost_phase,92,3.7263053000206128,356,evaluation_budget_exhausted
grover_cost_phase,93,4.134856499964371,359,evaluation_budget_exhausted
grover_cost_phase,94,4.940790900029242,362,evaluation_budget_exhausted
grover_cost_phase,95,4.883541899966076,365,evaluation_budget_exhausted
grover_cost_phase,96,4.98132020002231,368,evaluation_budget_exhausted
grover_cost_phase,97,5.30518049991224,371,evaluation_budget_exhausted
grover_cost_phase,98,4.995614400017075,374,evaluation_budget_exhausted
grover_cost_phase,99,5.1405200000153854,377,evaluation_budget_exhausted
grover_cost_phase,100,4.823727699927986,380,evaluation_budget_exhausted
grover_cost_phase,101,4.469968600082211,383,evaluation_budget_exhausted
grover_cost_phase,102,4.730561799951829,386,evaluation_budget_exhausted
grover_cost_phase,103,5.577832799986936,389,evaluation_budget_exhausted
grover_cost_phase,104,5.452685100026429,392,evaluation_budget_exhausted
grover_cost_phase,105,6.626195500022732,395,evaluation_budget_exhausted
grover_cost_phase,106,5.724969999981113,398,evaluation_budget_exhausted
grover_cost_phase,107,5.930961199919693,400,evaluation_budget_exhausted
grover_cost_phase,108,7.745013799984008,400,evaluation_budget_exhausted
grover_cost_phase,109,6.15983890008647,400,evaluation_budget_exhausted
grover_cost_phase,110,5.502274799975567,400,evaluation_budget_exhausted
