run_id,objective,depth,seed,initialization_mode,bias_lambda,evaluation_budget,optimizer_evaluations,statevector_evaluations,optimizer_success,optimizer_reason,optimizer_runtime,optimizer_reported_objective,final_objective_at_terminal_alpha,terminal_alpha,initial_p_opt,final_p_opt,p_opt_amplification,p_feas,optimal_state_rank,top3_lowest_cost_mass,top5_lowest_cost_mass,expected_route_cost,expected_normalized_cost,most_probable_route_id,most_probable_route,most_probable_route_cost,most_probable_route_probability,probability_entropy,final_parameters,probability_sum
cvar_p1_seed2602,cvar,1,2602,incumbent_biased_feasible,1.0,100,100,101,False,evaluation_budget_exhausted,0.1517236097715795,0.0989718489905592,0.0989718489905592,0.25,0.03764544463697589,0.15102815100944078,4.011857276912033,0.9999999999999999,2,0.16513412065609664,0.47410761287965175,11.629477694165844,0.40736942354146144,4,0->2->4->5->6,11,0.1643101831823135,2.5521799818138016,"[1.028060353266185,1.8106166697738244]",1.0
cvar_p1_seed2603,cvar,1,2603,incumbent_biased_feasible,1.0,100,100,101,False,evaluation_budget_exhausted,0.15268441289663315,0.23212801869879648,0.23212801869879648,0.25,0.03764544463697589,0.06214898750686562,1.6509032661503487,1.0,7,0.18399145194094932,0.2057229937943379,12.078289957067947,0.5195724892669867,11,0->2->4->6,12,0.2741735676478181,2.542098697075974,"[2.820357146980561,0.8625165562635546]",1.0000000000000002
cvar_p2_seed2601,cvar,2,2601,incumbent_biased_feasible,1.0,100,100,100,False,evaluation_budget_exhausted,0.20694283535704017,0.09921211484189574,0.09921211484189574,0.25,0.03764544463697589,0.15078788515810426,4.005474941581597,1.0,2,0.23341059305733816,0.3709698759833311,11.902816026017337,0.4757040065043341,11,0->2->4->6,12,0.17742673452087226,2.629809687950925,"[2.038954157907761,3.162996212147077,2.1998293635759616,2.871113701467604]",1.0
cvar_p2_seed2602,cvar,2,2602,incumbent_biased_feasible,1.0,100,99,70,True,converged,0.18957146955654025,0.13475092361704694,0.13475092361704694,0.25,0.03764544463697589,0.11524907638295305,3.0614348560450733,0.9999999999999999,3,0.16638869485446123,0.3894746240054431,11.991841750415633,0.4979604376039087,3,0->1->2->4->6,11,0.17199193152304157,2.638711071764092,"[1.2854649891308885,5.329725237509065,2.3413612134591997,5.200380830548531e-25]",0.9999999999999999
cvar_p2_seed2603,cvar,2,2603,incumbent_biased_feasible,1.0,100,100,100,False,evaluation_budget_exhausted,0.22726204013451934,0.06417324415978617,0.06417324415978617,0.25,0.03764544463697589,0.18582675584021377,4.936234852109891,0.9999999999999997,1,0.22692833528685563,0.40619863368819686,11.858311977429663,0.46457799435741653,0,0->1->2->4->5->6,10,0.18582675584021377,2.600162378564321,"[2.8499374578163,1.0345971491059525,0.9378251184074827,1.3844416513598021]",0.9999999999999998
cvar_p3_seed2601,cvar,3,2601,incumbent_biased_feasible,1.0,100,48,47,True,converged,0.09145244909450412,0.0,0.0,0.25,0.03764544463697589,0.2581761880356989,6.858099048247516,1.0,1,0.3160538771864782,0.4134574059255922,11.781493860274605,0.44537346506865144,0,0->1->2->4->5->6,10,0.2581761880356989,2.543877491928913,"[1.402370421705897,2.6680280499963014,4.035773080596084,2.4983563243954285,2.7881187733472297,1.1747286456527253]",0.9999999999999999
cvar_p3_seed2602,cvar,3,2602,incumbent_biased_feasible,1.0,100,36,36,True,converged,0.06014898419380188,0.0,0.0,0.25,0.03764544463697589,0.3408484613109407,9.05417546791716,1.0,1,0.38927988100913935,0.398880034869683,11.646844027269141,0.4117110068172854,0,0->1->2->4->5->6,10,0.3408484613109407,2.3306474461776268,"[0.5457919153053961,4.490130217915698,3.836027259738869,1.0473928896317588,1.7715044133878388,2.6759894557875903]",1.0
cvar_p3_seed2603,cvar,3,2603,incumbent_biased_feasible,1.0,100,100,99,False,evaluation_budget_exhausted,0.19638735800981522,0.0014840181244935025,0.0014840181244935025,0.25,0.03764544463697589,0.24851598187550655,6.601488819484167,1.0000000000000002,1,0.30168599983543254,0.4327664421901455,11.549683670140679,0.38742091753516994,0,0->1->2->4->5->6,10,0.24851598187550655,2.4819249959494503,"[2.861211783488464,0.7785386264104892,0.9517236115124581,2.7314950047527375,0.9579883304059621,2.748288241943168]",1.0
ascending_cvar_p1_seed2601,ascending_cvar,1,2601,incumbent_biased_feasible,1.0,100,53,54,True,converged,0.08302529295906425,0.1266971265127538,0.2733141884617771,0.6439393939393939,0.03764544463697589,0.1419851270459199,3.771641653196469,1.0,2,0.15295198626248258,0.44190256934041183,11.720164068867863,0.4300410172169653,4,0->2->4->5->6,11,0.1514105511768436,2.5584924167970393,"[2.2087913909933334,1.8289049471264063]",1.0
ascending_cvar_p1_seed2602,ascending_cvar,1,2602,incumbent_biased_feasible,1.0,100,52,53,True,converged,0.0652758190408349,0.12205833652287311,0.25369579168998685,0.6363636363636364,0.03764544463697589,0.1395727237932293,3.707559444154871,0.9999999999999999,3,0.16216400877304238,0.48738344281407686,11.598087463839782,0.3995218659599461,4,0->2->4->5->6,11,0.1809502020854308,2.5814807831926965,"[1.0983463459233038,1.7485777508839382]",1.0
ascending_cvar_p1_seed2603,ascending_cvar,1,2603,incumbent_biased_feasible,1.0,100,50,30,True,converged,0.08226008014753461,0.21549167574943875,0.23485000398755845,0.6212121212121212,0.03764544463697589,0.03764544463697589,1.0,0.9999999999999999,2,0.8314198575197478,0.8351683701715074,11.162769670333342,0.2906924175833347,1,0->1->2->3->4->5->6,11,0.7561289682457961,1.098031877253192,"[1.944846054863434,0.0]",1.0
ascending_cvar_p2_seed2601,ascending_cvar,2,2601,incumbent_biased_feasible,1.0,100,62,62,True,converged,0.07905965205281973,0.1326534753675693,0.33542242224477864,0.7121212121212122,0.03764544463697589,0.12801439050810617,3.40052805173587,0.9999999999999999,2,0.19745608364762635,0.34078234612797903,11.875076032999985,0.46876900824999707,11,0->2->4->6,12,0.2109949340856234,2.621076374360576,"[1.8789715463539463,3.3995278717578987,2.236447412127305,2.7906443673425665]",0.9999999999999999
ascending_cvar_p2_seed2602,ascending_cvar,2,2602,incumbent_biased_feasible,1.0,100,70,70,True,converged,0.09511292073875666,0.19127406335886765,0.4080694272967299,0.7727272727272727,0.03764544463697589,0.08664396096516934,2.301578897545187,1.0000000000000002,4,0.2060860984987543,0.3249906212230072,12.107700643647181,0.5269251609117952,19,0->3->4->6,14,0.09801932602858991,2.7577836694147595,"[0.3619443451086887,4.173331618561291,2.453018555296868,0.050553516057820796]",1.0000000000000002
ascending_cvar_p2_seed2603,ascending_cvar,2,2603,incumbent_biased_feasible,1.0,100,67,67,True,converged,0.09387878002598882,0.20091137939175596,0.3914236600786234,0.75,0.03764544463697589,0.06545149414432544,1.7386298601461612,1.0,7,0.24319700694115098,0.35110235698853426,12.061515274329086,0.5153788185822711,5,0->1->2->3->4->6,12,0.18450960873568478,2.628060704365484,"[2.713779323060601,0.8211012461677215,0.6211512992866627,2.6979630944609]",1.0
ascending_cvar_p3_seed2601,ascending_cvar,3,2601,incumbent_biased_feasible,1.0,100,98,97,True,converged,0.1418284340761602,0.05260715569249924,0.3738569162978622,0.9848484848484849,0.03764544463697589,0.26319045907666766,6.991296333850664,1.0,1,0.4052582321853989,0.5230728795459624,11.533375730870363,0.38334393271759154,0,0->1->2->4->5->6,10,0.26319045907666766,2.478616666627391,"[1.3712671199621012,2.8943912225581627,3.4718675973033166,2.5222150997246016,2.7479453051017595,1.5626093085028345]",1.0
ascending_cvar_p3_seed2602,ascending_cvar,3,2602,incumbent_biased_feasible,1.0,100,97,97,True,converged,0.14829479064792395,0.0,0.39828351981599075,0.9772727272727273,0.03764544463697589,0.3433439839093396,9.12046562924913,1.0,1,0.4063369925394884,0.41654369995699375,11.64783557746251,0.4119588943656273,0,0->1->2->4->5->6,10,0.3433439839093396,2.3000324515484856,"[0.5454141809900112,4.489804929632411,3.834562020149581,1.0083874821737138,1.7753297385297402,2.6546335198925473]",1.0
ascending_cvar_p3_seed2603,ascending_cvar,3,2603,incumbent_biased_feasible,1.0,100,94,93,True,converged,0.135740305762738,0.07162567758762418,0.3856197518740533,0.9545454545454546,0.03764544463697589,0.20540073489909944,5.456190964931569,1.0,1,0.3386545590086402,0.43117042462520333,11.631875240776749,0.40796881019418685,0,0->1->2->4->5->6,10,0.20540073489909944,2.6115734418250827,"[2.7239095548496786,0.8297555374335921,0.9228323047781222,2.816864460552708,0.9036289520883076,2.798788317613596]",1.0
