run_id,algorithm,depth,budget_multiplier,parameterization,objective_kind,trace_evaluations_including_initial,initial_training_objective,final_training_objective,objective_improvement,initial_p_opt,final_p_opt,p_opt_change,training_objective_p_opt_pearson,objective_improved_but_p_opt_decreased
bfo-9e05512e0c19e5f28069ed5b437fd46af4f97b8c075fa4091c302e3d433d81b6,penalty_x,100,25,FOURIER_Q10,expectation,5001,101.218172427081,52.931117038277016,48.287055388803985,1.8985273225815e-05,0.003099986936644442,0.003081001663418627,-0.6623749594279279,False
bfo-89b6eb1b4e6a76e3139f07f34edd4bc197c1fdf3ffb0dbfd68ea6d2933ad202f,penalty_x,100,25,FOURIER_Q5,cvar_0.10,3926,54.260736986613175,33.88473418338777,20.376002803225404,1.6085398280759208e-06,7.536096112082594e-06,5.927556284006673e-06,0.2142333947871353,False
bfo-0a4eb1759721da204f36cdfead51b3212b9d66e72612d717cdb089fff74f9cdc,penalty_x,100,25,FOURIER_Q5,cvar_0.25,5001,68.6605103344498,44.576004176126645,24.08450615832315,1.6085398280759208e-06,0.0001258540145020908,0.00012424547467401487,-0.2927560077871561,False
bfo-aa80ffe19ca9b3cf2d65629c349568144ee3d7ce9b39ffacde4690461dd599ea,penalty_x,100,25,FOURIER_Q5,expectation,5001,115.209680978055,84.71464548659286,30.495035491462147,1.6085398280759208e-06,3.653788954007003e-05,3.492934971199411e-05,-0.089625035080481,False
bfo-4df21966fd8ad7d401bad12a3419c58ad68467dfb4c3683a061b6c2f64c341b8,penalty_x,110,25,DIRECT,cvar_0.10,5501,11.966405052275643,11.421851348035851,0.5445537042397923,0.000366092135876,0.007741140949673221,0.007375048813797221,0.07959064633063449,False
bfo-84aa46afa49a9faa81a14cf1abf3c46cdab06bde561a874b22f0ee1d030321a2,penalty_x,110,25,DIRECT,cvar_0.25,5501,11.98656202091026,11.845246017971448,0.14131600293881164,0.000366092135876,0.002990435318282884,0.002624343182406884,-0.05125187982654574,False
bfo-63e471a5032e0a9170e0e902cd32dee78f4accc2074436cf7ece1f4bf50a82bd,penalty_x,110,10,DIRECT,expectation,2201,18.437183057142686,17.568994648603777,0.8681884085389093,0.000366092135876,0.0002686594069601772,-9.743272891582283e-05,0.007462957788588544,True
bfo-c48efee34122dc81650a3dd2f36f26200c71bdc9805103ef704365fe01a92385,penalty_x,110,25,DIRECT,expectation,5501,18.437183057142686,17.24238843683626,1.1947946203064248,0.000366092135876,0.00037276076543843863,6.668629562438624e-06,-0.02123025136345163,False
bfo-4572d9b6beeb20c9979431e5cb94e21dd52fcf96d102da5e18d6067ef8385838,penalty_x,110,50,DIRECT,expectation,11001,18.437183057142686,17.096658203527067,1.3405248536156193,0.000366092135876,0.0003815785263300749,1.5486390454074882e-05,-0.00532272412991135,False
bfo-ea46245cc6c10748528be261e0417e12e922fd0d6e642ea93e2f5e7dfd2dd526,penalty_x,110,25,FOURIER_Q10,cvar_0.10,5501,35.02073346837532,33.2092261381112,1.8115073302641207,3.929267551613145e-06,7.48865239569277e-05,7.095725640531456e-05,-0.2615431201030223,False
bfo-75eeb814f6a69bea370b28f4abda6dae1c1f6b4151460102bd2beb0455f46ad8,penalty_x,110,25,FOURIER_Q10,cvar_0.25,5501,46.06443063072453,44.02378434876755,2.040646281956981,3.929267551613145e-06,1.8328826124081498e-05,1.4399558572468354e-05,0.09406944313219498,False
bfo-4f044e6ef4d9c097092cdb8dd8a7ce628edcbcc6e49a45427538f3fc554f356b,penalty_x,110,25,FOURIER_Q10,expectation,5501,83.47789893616735,47.32461795219134,36.15328098397601,3.929267551613145e-06,9.179439732153156e-06,5.250172180540011e-06,0.40537382679776984,False
bfo-76ecde319c6b119d38ff726f672c41676b9dd3846be9b3331eb46ffeff48730b,penalty_x,110,25,FOURIER_Q5,cvar_0.10,5501,53.046677506554026,33.420574802571515,19.62610270398251,4.829283614267277e-07,2.825891261400831e-06,2.3429628999741036e-06,0.5166273237755097,False
bfo-a928578139a878e1cefcf625711741370fa7a2e876f14417692be788c1c462c9,penalty_x,110,25,FOURIER_Q5,cvar_0.25,5501,67.4468728929501,44.7462752617951,22.700597631155,4.829283614267277e-07,5.706422675129594e-05,5.6581298389869216e-05,-0.1949678153093454,False
bfo-05dc1e20d28e5213bb85b0c81ef118cfb6085fdcbe2fcb1641a527e30326265b,penalty_x,110,25,FOURIER_Q5,expectation,5501,113.93970544404355,84.64264039701288,29.29706504703067,4.829283614267277e-07,3.73107794624232e-05,3.6827851100996474e-05,-0.1534904142043173,False
